Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
52,Tommy Edman#,30,LAD,NL,1.1,25,103,96,16,25,2,1,8,19,1,1,3,14,.260,.291,.552,.843,136,.352,130,53,1,2,0,2,0,*4/8,,edmanto01
53,Jung Hoo Lee*,26,SFG,NL,1.5,24,103,93,21,31,10,2,3,15,3,1,9,14,.333,.388,.581,.969,178,.422,180,54,0,0,0,1,0,*8/H,,leeju01
54,Carlos Santana#,39,CLE,AL,0.0,24,103,93,11,19,2,0,2,6,1,0,8,19,.204,.272,.290,.562,65,.260,63,27,1,1,0,1,1,*3/D,,santaca01
55,Tyler Soderstrom*,23,ATH,AL,1.1,24,103,92,19,26,3,0,9,19,0,0,10,23,.283,.350,.609,.958,171,.404,166,56,1,0,0,1,0,*3/7,,soderty01
56,Riley Greene*,24,DET,AL,-0.1,24,102,96,11,22,4,0,3,10,0,0,6,34,.229,.275,.365,.639,86,.278,78,35,2,0,0,0,1,*78/DH,,greenri03
57,Manny Machado,32,SDP,NL,0.9,25,102,92,17,26,9,0,2,10,6,0,10,16,.283,.353,.446,.799,124,.362,120,41,3,0,0,0,1,*5/D,,machama01
58,Matt Olson*,31,ATL,NL,0.7,24,102,84,10,20,4,0,4,15,0,0,17,20,.238,.373,.429,.801,123,.360,127,36,5,1,0,0,0,*3,,olsonma02
59,Trevor Story,32,BOS,AL,1.1,25,102,97,12,30,2,0,5,15,6,0,4,30,.309,.343,.485,.828,134,.376,133,47,0,1,0,0,0,*6/DH,,storytr01
60,Trea Turner,32,PHI,NL,0.3,23,102,89,13,22,4,0,1,7,6,2,11,20,.247,.343,.326,.669,89,.317,94,29,1,2,0,0,0,*6/H,,turnetr01
61,Nick Castellanos,33,PHI,NL,0.1,25,101,91,11,25,6,0,3,15,0,0,9,20,.275,.337,.440,.776,116,.340,113,40,2,0,0,1,0,*9/D,,casteni01
62,William Contreras,27,MIL,NL,0.6,24,101,86,12,21,2,0,3,15,3,0,14,18,.244,.347,.372,.719,101,.341,108,32,0,0,0,1,2,*2/D,,contrwi02
63,Sal Frelick*,25,MIL,NL,0.4,25,101,88,13,28,3,2,1,6,7,2,11,11,.318,.406,.432,.838,135,.380,136,38,1,2,0,0,0,*98/5,,frelisa01
64,Nolan Arenado,34,STL,NL,0.8,23,100,86,12,23,8,0,2,11,1,0,13,7,.267,.370,.430,.800,125,.355,124,37,1,1,0,0,3,*5,,arenano01
65,Brandon Nimmo*,32,NYM,NL,-0.2,24,100,92,8,18,3,0,4,10,0,1,7,19,.196,.250,.359,.609,72,.258,63,33,2,0,0,1,1,*7/8,,nimmobr01
66,Taylor Ward,31,LAA,AL,0.2,23,100,94,12,20,4,0,6,9,0,1,5,23,.213,.250,.447,.697,96,.299,93,42,2,0,0,1,1,*7,,wardta01
67,Christian Yelich*,33,MIL,NL,0.3,24,100,85,13,18,3,0,5,19,5,0,14,25,.212,.330,.424,.754,109,.353,113,36,1,1,0,0,1,*D/7H,,yelicch01
68,Salvador Perez,35,KCR,AL,-0.4,24,99,92,5,17,4,0,2,10,0,0,6,23,.185,.235,.293,.528,52,.247,53,27,2,0,0,0,0,2/3D,,perezsa02
69,Seiya Suzuki,30,CHC,NL,0.7,22,99,87,14,24,3,1,6,20,1,1,11,28,.276,.354,.540,.894,150,.390,155,47,3,0,0,1,0,*D/79,,suzukse01
70,Xander Bogaerts,32,SDP,NL,0.4,25,98,85,10,22,8,0,0,5,4,0,11,20,.259,.347,.353,.700,98,.312,87,30,3,1,0,1,2,*6/H,,bogaexa01
71,Brendan Donovan*,28,STL,NL,1.3,23,98,90,14,32,7,0,3,13,3,1,5,12,.356,.392,.533,.925,158,.403,159,48,2,1,1,1,0,*4/67DH,,donovbr01
72,Michael Harris II*,24,ATL,NL,0.1,24,98,90,8,21,3,0,3,11,4,1,3,20,.233,.250,.367,.617,70,.276,62,33,1,0,2,3,0,*8/H,,harrimi04
73,Otto López,26,MIA,NL,0.6,23,98,89,13,20,5,0,2,10,3,1,9,14,.225,.296,.348,.644,75,.296,73,31,1,0,0,0,1,*4,,lopezot01
74,Jeremy Peña,27,HOU,AL,1.2,24,98,87,13,22,3,0,3,8,5,0,8,15,.253,.327,.391,.717,109,.325,103,34,1,2,0,1,1,*6,,penaje02
75,Mike Trout,33,LAA,AL,0.0,23,98,83,12,14,1,0,8,16,2,0,12,29,.169,.276,.470,.745,110,.317,99,39,0,1,0,2,2,*9/D,,troutmi01
76,Wilyer Abreu*,26,BOS,AL,1.4,25,97,81,15,23,6,0,4,15,4,0,16,23,.284,.402,.506,.908,158,.397,152,41,2,0,0,0,4,*9/H,,abreuwi02
77,Mookie Betts,32,LAD,NL,0.8,22,97,83,15,21,3,0,4,11,2,0,13,8,.253,.361,.434,.795,128,.355,127,36,2,1,0,0,0,*6,,bettsmo01
78,JJ Bleday*,27,ATH,AL,0.0,23,97,83,13,18,4,0,2,11,1,1,13,17,.217,.320,.337,.657,91,.304,96,28,2,0,0,1,0,*8,,bledajj01
79,José Ramírez#,32,CLE,AL,0.4,23,97,83,10,22,4,0,5,13,4,1,9,11,.265,.330,.494,.824,138,.357,131,41,0,1,0,4,2,*5/D,,ramirjo01
80,Yordan Alvarez*,28,HOU,AL,-0.1,23,96,77,5,17,3,0,2,13,1,0,14,17,.221,.323,.338,.661,94,.284,80,26,0,0,0,5,3,*D/7,,alvaryo01
81,Luis Arráez*,28,SDP,NL,0.2,22,96,87,9,25,3,0,3,7,2,1,5,2,.287,.330,.425,.755,111,.328,106,37,1,1,2,1,0,*3/D,,arraelu01
82,Michael Busch*,27,CHC,NL,1.0,25,96,85,14,26,7,1,5,16,2,0,8,23,.306,.385,.588,.974,172,.422,172,50,0,3,0,0,0,*3/H,,buschmi02
83,Kristian Campbell,23,BOS,AL,0.9,23,96,80,12,24,5,0,3,8,1,1,15,23,.300,.406,.475,.881,151,.385,151,38,0,0,0,1,0,*4/87,,campbkr01
84,Wilmer Flores,33,SFG,NL,0.3,25,96,89,13,23,0,0,7,27,1,0,6,18,.258,.313,.494,.807,130,.353,130,44,2,1,0,0,0,*D/H3,,florewi01
85,Nathaniel Lowe*,29,WSN,NL,0.5,24,96,86,7,25,5,0,4,19,1,0,10,29,.291,.365,.488,.853,141,.374,141,42,1,0,0,0,0,*3/DH,,lowena01
86,Vinnie Pasquantino*,27,KCR,AL,-0.2,23,96,86,5,16,3,1,2,14,0,0,8,18,.186,.260,.314,.574,65,.259,61,27,1,1,0,1,2,3D,,pasquvi01
87,Adley Rutschman#,27,BAL,AL,0.3,22,96,84,11,18,2,0,4,8,0,0,12,15,.214,.313,.381,.693,107,.310,106,32,4,0,0,0,0,*2/D,,rutscad01
88,Eugenio Suárez,33,ARI,NL,0.0,24,96,84,10,13,3,0,6,15,1,0,9,30,.155,.260,.405,.665,83,.320,96,34,2,3,0,0,1,*5/H,,suareeu01
89,Ty France,30,MIN,AL,0.1,24,95,83,9,20,3,0,2,12,0,0,8,12,.241,.337,.349,.686,98,.323,106,29,2,4,0,0,0,*3,,francty01
90,Nico Hoerner,28,CHC,NL,0.5,22,95,86,11,26,3,1,0,13,6,2,6,8,.302,.347,.360,.708,102,.345,117,31,0,1,0,2,0,*4,,hoernni01
91,Marcus Semien,34,TEX,AL,-0.4,23,95,85,6,13,1,0,2,10,0,1,8,17,.153,.221,.235,.456,36,.211,37,20,2,0,0,2,0,*4,,semiema01
92,Christian Walker,34,HOU,AL,0.2,23,95,84,11,17,3,0,3,6,0,0,8,28,.202,.295,.345,.640,87,.300,94,29,2,3,0,0,0,*3,,walkech02
93,Junior Caminero,21,TBR,AL,0.0,23,94,87,14,22,3,0,5,11,0,0,6,21,.253,.298,.460,.758,118,.334,118,40,8,0,0,1,0,*5/DH,,caminju01
94,Jonathan India,28,KCR,AL,0.0,22,94,82,5,16,4,0,0,4,0,1,11,13,.195,.298,.244,.542,59,.249,58,20,1,1,0,0,0,5/7D,,indiajo01
95,Jorge Soler,33,LAA,AL,0.3,23,94,84,9,22,5,0,4,9,0,0,5,31,.262,.319,.464,.783,123,.336,116,39,1,3,0,2,0,*D/9,,solerjo01
96,Bryson Stott*,27,PHI,NL,0.4,22,94,84,12,25,4,1,2,13,4,0,9,20,.298,.362,.440,.802,124,.361,121,37,0,0,0,1,0,*4/H,,stottbr01
97,Jordan Walker,23,STL,NL,-0.1,23,94,86,8,17,1,0,2,7,2,2,7,28,.198,.266,.279,.545,54,.264,63,24,2,1,0,0,0,*9/H,,walkejo02
98,Oneil Cruz*,26,PIT,NL,0.0,22,93,77,13,19,3,0,6,12,11,0,13,25,.247,.355,.519,.874,141,.399,135,40,1,1,0,2,2,*8/HD,,cruzon01
99,Lourdes Gurriel Jr.,31,ARI,NL,-0.4,22,93,87,8,15,3,0,4,14,0,0,3,11,.172,.194,.345,.538,47,.227,31,30,0,0,0,3,0,*7,,gurrilo01
100,Teoscar Hernández,32,LAD,NL,0.8,23,93,89,12,24,5,0,6,22,2,0,3,19,.270,.290,.528,.818,130,.351,124,47,2,0,0,1,0,*9,,hernate01
101,Trevor Larnach*,28,MIN,AL,0.2,23,93,78,13,17,1,0,3,9,1,0,12,16,.218,.326,.346,.672,93,.316,98,27,1,1,0,1,1,D/79H,,larnatr01
102,Gavin Lux*,27,CIN,NL,0.4,24,93,79,10,25,5,0,1,12,1,0,14,24,.316,.419,.418,.837,130,.378,133,33,0,0,0,0,0,7/4D5H,,luxga01
103,Cedric Mullins*,30,BAL,AL,1.1,22,93,74,16,22,5,0,6,19,4,1,17,17,.297,.441,.608,1.049,211,.452,204,45,1,2,0,0,0,*8,,mullice01
104,Joey Ortiz,26,MIL,NL,-0.8,24,93,81,8,14,1,0,0,4,2,0,9,14,.173,.264,.185,.449,28,.223,22,15,3,1,2,0,0,*6,,ortizjo06
105,Nolan Schanuel*,23,LAA,AL,0.1,23,93,83,10,22,4,1,2,8,1,0,8,14,.265,.333,.410,.743,113,.336,114,34,3,1,0,1,1,*3,,schanno01
106,Kyle Stowers*,27,MIA,NL,0.3,23,93,79,11,23,3,1,2,15,2,1,11,30,.291,.376,.430,.807,120,.351,115,34,2,1,0,2,0,*9/7HD,,stoweky01
107,Miguel Vargas,25,CHW,AL,0.1,23,93,83,7,13,5,0,0,6,1,0,8,23,.157,.247,.217,.464,38,.221,37,18,0,2,0,0,0,*5/DH,,vargami01
